month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2020,East Westwood,31,13,0,18,120.07,241.69,2594.407483,1110.703775,825.609913,480.56864,143.2812563,3.33,0.331502393,0.719523199,2.316640032,1,241279.8959,803462.0533,88990.48976,0.110758796,14598.08758,0.06050271,0.890784705,1766.4,0.007320958,0,0,0,0,0,0,0,0,0.007320958
1,2020,English Woods,31,13,0,18,120.07,241.69,452.0534606,217.202864,136.4305489,76.47350835,21.49403341,3.33,0.252083333,0.721772965,2.03,1,42040.97184,139996.4362,13233.30621,0.094526022,2292.440477,0.054528722,0.87082771,0,0,0,0,0,0,0,0,0,0,0
1,2020,Evanston,31,13,0,18,120.07,241.69,8305.282307,3343.437259,1505.62945,782.1793541,288.1667115,3.33,0.14225908,0.880456912,2.1611644,0.36,772391.2545,2572062.878,114956.0562,0.044694108,9016.595257,0.011673611,0.936824631,4298.675,0.005565411,0,0,0,0,0,0,0,0,0.005565411
1,2020,Hartwell,31,13,0,18,120.07,241.69,5213,2384,1046,412,203,3.33,0.117449664,0.913793044,2.12,1,484809,1614413.97,67673.2,0.041918121,14391,0.029683855,0.985395019,271.8333333,5.61E-04,0,0,0,0,0,0,0,0,5.61E-04
1,2020,Hyde Park,31,13,0,18,120.07,241.69,13423,6632,2497,1401,325,3.33,0.012665862,0.953415044,2.009787826,0.65,1248339,4156968.87,20301.96,0.004883837,26252.46,0.021029913,0.979328793,852.3041667,6.83E-04,0,0,0,0,0,0,0,0,6.83E-04
1,2020,Kennedy Heights,31,13,0,18,120.07,241.69,5020,2564,821,456,28,3.33,0.097113885,0.910703138,1.95,1,466860,1554643.8,60180.81,0.038710353,11325.6,0.024259093,0.973672583,2658.333333,0.00569407,0,0,0,0,0,0,0,0,0.00569407
1,2020,Linwood,31,13,0,18,120.07,241.69,669.9474518,311.2997095,109.5716926,52.42751518,17.77818854,3.33,0.027389277,0.962334613,2.15,1,62305.11302,207476.0264,2060.715186,0.009932305,1642.813467,0.026367234,0.998634152,0,0,0,0,0,0,0,0,0,0,0
1,2020,Lower Price Hill,31,13,0,18,120.07,241.69,858.0199203,279.690239,281.9641434,89.44023904,42.44621514,3.33,0.482384824,0.59529547,2.3,1,79795.85259,265720.1891,32608.41038,0.122717098,3086.143028,0.038675482,0.756688049,2408.166667,0.030179096,0,0,0,0,0,0,0,0,0.030179096
1,2020,Madisonville,31,13,0,18,120.07,241.69,10708.11111,5353.468575,1880.752525,960.5347924,350.6116723,3.33,0.083063405,0.887632225,2.036783539,1,995854.3333,3316194.93,107474.0636,0.03240885,30680.82727,0.030808549,0.950849624,24484.60167,0.024586529,0,0,0,0,0,0,0,0,0.024586529
1,2020,Millvale,31,13,0,18,120.07,241.69,2172.59986,849.0014015,897.9677645,539.3833217,57.25297828,3.33,0.573203194,0.545278332,2.55,1,202051.787,672832.4506,117618.5147,0.174811002,13961.28942,0.06909758,0.789186913,11657.5575,0.057695889,0,0,0,0,0,0,0,0,0.057695889
1,2020,Mt. Adams,31,13,0,18,120.07,241.69,1617,975,115,69,28,3.33,0,0.968495181,1.66,0.13,150381,500768.73,0,0,295.074,0.001962176,0.970457357,0,0,0,0,0,0,0,0,0,0,0
1,2020,Mt. Airy,31,13,0,18,120.07,241.69,8806.992291,3766.476649,2421.760119,1321.154633,452.6658265,3.33,0.231938543,0.771281074,2.33455419,1,819050.283,2727437.442,211138.2341,0.077412677,41507.39875,0.050677473,0.899371224,5358.208333,0.006541977,0,0,0,0,0,0,0,0,0.006541977
1,2020,Mt. Auburn,31,13,0,18,120.07,241.69,4632,2374,708,325,162,3.33,0.136478517,0.876137822,1.804115492,1,430776,1434484.08,78307.56,0.054589355,11395.8,0.02645412,0.957181297,9030.419833,0.020963145,0,0,0,0,0,0,0,0,0.020963145
1,2020,Mt. Lookout,31,13,0,18,120.07,241.69,4936.097175,2131.928175,1133.545815,635.5310272,151.5157116,3.33,0.00888933,0.969493974,2.316645316,0.13,459057.0372,1528659.934,4580.366942,0.002996328,2394.19618,0.005215466,0.977705768,0,0,0,0,0,0,0,0,0,0,0
1,2020,Mt. Washington,31,13,0,18,120.07,241.69,12196.83526,5429.929707,3033.712291,1576.369099,438.2196687,3.33,0.151879582,0.908039547,2.222381882,0.45,1134305.679,3777237.912,199320.644,0.052768888,21213.61972,0.018701854,0.97951029,9392.125,0.008280065,0,0,0,0,0,0,0,0,0.008280065
1,2020,North Avondale - Paddock Hills,31,13,0,18,120.07,241.69,4209.835302,1701.342946,614.3596247,356.2685893,47.92390549,3.33,0.193256155,0.872082623,2.078163362,1,391514.6831,1303743.895,79466.46271,0.06095251,9458.104378,0.024157726,0.957192858,4790.366667,0.012235471,0,0,0,0,0,0,0,0,0.012235471
